Date,Real,Train,Test
2019-06-18,212.35520935058594,206.37493896484375,
2019-06-19,212.35520935058594,209.16815185546875,
2019-06-20,196.91119384765625,210.9751434326172,
2019-06-21,192.08494567871094,208.91099548339844,
2019-06-24,196.91119384765625,204.76808166503906,
2019-06-25,208.49420166015625,201.3354949951172,
2019-06-26,198.84170532226562,200.99977111816406,
2019-06-27,196.91119384765625,200.1211700439453,
2019-06-28,196.91119384765625,199.41818237304688,
2019-07-01,189.18919372558594,198.67625427246094,
2019-07-02,187.25868225097656,196.68783569335938,
2019-07-03,188.22393798828125,194.29527282714844,
2019-07-04,191.11968994140625,192.38848876953125,
2019-07-05,194.98069763183594,191.3092498779297,
2019-07-08,187.25868225097656,191.5022735595703,
2019-07-09,193.05018615722656,190.93429565429688,
